Query,Video,Approval Status,Timestamp,Camera Time,unix_timestamp_start,unix_timestamp_end,Frame Gps Lat Start,Frame Gps Lat End,Frame Gps Lon Start,Frame Gps Lon End,Frame Timestamp Start,Frame Timestamp End,Category,Label,Severity,Video ID,Analysis ID,Share Link
Asset Inventory Scan,b4dafb7358b947e99fce375f519adab6,pending,1:47–1:56,12/16/2025 01:05:41–12/16/2025 01:05:50,1765847141,1765847150,40.288251,40.287392,-82.822591,-82.823051,12/16/2025 01:05:41 AM,12/16/2025 01:05:50 AM,Signage,Stop Sign,high,b4dafb7358b947e99fce375f519adab6,39721df2f5a15e5f75589b334d147892,https://app.nomadicml.com/events/b4dafb7358b947e99fce375f519adab6/39721df2f5a15e5f75589b334d147892
Weather Impact Analysis,748155c2e9774486a6e31f51b00b9301,pending,0:39–0:44,12/16/2025 01:06:41–12/16/2025 01:06:46,1765847201,1765847206,34.367525,34.367457,-86.790898,-86.790039,12/16/2025 01:06:41 AM,12/16/2025 01:06:46 AM,Environment,Fallen Leaves,low,748155c2e9774486a6e31f51b00b9301,72d7cb6ec707c333389f90f62efa6339,https://app.nomadicml.com/events/748155c2e9774486a6e31f51b00b9301/72d7cb6ec707c333389f90f62efa6339
Weather Impact Analysis,748155c2e9774486a6e31f51b00b9301,pending,0:52–0:59,12/16/2025 01:07:41–12/16/2025 01:07:48,1765847261,1765847268,34.699508,34.698687,-86.898790,-86.897993,12/16/2025 01:07:41 AM,12/16/2025 01:07:48 AM,Environment,Flooded Road,critical,748155c2e9774486a6e31f51b00b9301,62b49246f4ae55abf4af2fb2a2814b69,https://app.nomadicml.com/events/748155c2e9774486a6e31f51b00b9301/62b49246f4ae55abf4af2fb2a2814b69
Pedestrian Safety Audit,803d60b96d19460eb35fa8fef6de8510,pending,0:17–0:22,12/16/2025 01:08:41–12/16/2025 01:08:46,1765847321,1765847326,39.918587,39.919189,-82.635466,-82.636422,12/16/2025 01:08:41 AM,12/16/2025 01:08:46 AM,Vulnerable Users,Person in Wheelchair,low,803d60b96d19460eb35fa8fef6de8510,345c148ba891e7fe83bde32faf6206fd,https://app.nomadicml.com/events/803d60b96d19460eb35fa8fef6de8510/345c148ba891e7fe83bde32faf6206fd
Hazard Detection Scan,3f8ff83f66b24b298fa5455023b0d9b1,pending,1:33–1:42,12/16/2025 01:09:41–12/16/2025 01:09:50,1765847381,1765847390,34.461812,34.462538,-86.712513,-86.712400,12/16/2025 01:09:41 AM,12/16/2025 01:09:50 AM,Obstacles,Road Barrier,medium,3f8ff83f66b24b298fa5455023b0d9b1,79e9cb8b9fe5d51a1710bfde62284966,https://app.nomadicml.com/events/3f8ff83f66b24b298fa5455023b0d9b1/79e9cb8b9fe5d51a1710bfde62284966
Hazard Detection Scan,b4dafb7358b947e99fce375f519adab6,pending,1:14–1:23,12/16/2025 01:10:41–12/16/2025 01:10:50,1765847441,1765847450,39.865314,39.865929,-83.012564,-83.013216,12/16/2025 01:10:41 AM,12/16/2025 01:10:50 AM,Obstacles,Tire Debris,high,b4dafb7358b947e99fce375f519adab6,8f2ae0e42638b9edb26c7b587d94324e,https://app.nomadicml.com/events/b4dafb7358b947e99fce375f519adab6/8f2ae0e42638b9edb26c7b587d94324e
Hazard Detection Scan,d55e12770eb744a09b0366fadf185b4e,pending,1:42–1:51,12/16/2025 01:11:41–12/16/2025 01:11:50,1765847501,1765847510,34.702144,34.701757,-86.711553,-86.711812,12/16/2025 01:11:41 AM,12/16/2025 01:11:50 AM,Obstacles,Tire Debris,critical,d55e12770eb744a09b0366fadf185b4e,e7a2e5e0ed582ef855768e4b92bf9c6a,https://app.nomadicml.com/events/d55e12770eb744a09b0366fadf185b4e/e7a2e5e0ed582ef855768e4b92bf9c6a
Pedestrian Safety Audit,d55e12770eb744a09b0366fadf185b4e,pending,0:21–0:26,12/16/2025 01:12:41–12/16/2025 01:12:46,1765847561,1765847566,34.695831,34.696641,-86.957740,-86.958103,12/16/2025 01:12:41 AM,12/16/2025 01:12:46 AM,Vulnerable Users,Jaywalker,medium,d55e12770eb744a09b0366fadf185b4e,b4567e7e1a6c45ad74d5975ef730c2bd,https://app.nomadicml.com/events/d55e12770eb744a09b0366fadf185b4e/b4567e7e1a6c45ad74d5975ef730c2bd
Pavement Defect Scan,3f8ff83f66b24b298fa5455023b0d9b1,pending,1:19–1:29,12/16/2025 01:13:41–12/16/2025 01:13:51,1765847621,1765847631,39.810595,39.810236,-82.627787,-82.627399,12/16/2025 01:13:41 AM,12/16/2025 01:13:51 AM,Road Surface,Uneven Pavement,critical,3f8ff83f66b24b298fa5455023b0d9b1,22b648b72665b3c8c6fe2646c9583b89,https://app.nomadicml.com/events/3f8ff83f66b24b298fa5455023b0d9b1/22b648b72665b3c8c6fe2646c9583b89
Weather Impact Analysis,b4dafb7358b947e99fce375f519adab6,pending,1:11–1:16,12/16/2025 01:14:41–12/16/2025 01:14:46,1765847681,1765847686,35.095556,35.095203,-86.753475,-86.752779,12/16/2025 01:14:41 AM,12/16/2025 01:14:46 AM,Environment,Fallen Leaves,medium,b4dafb7358b947e99fce375f519adab6,aa3e765c77b097d356a24ba7b47f1154,https://app.nomadicml.com/events/b4dafb7358b947e99fce375f519adab6/aa3e765c77b097d356a24ba7b47f1154
Pedestrian Safety Audit,748155c2e9774486a6e31f51b00b9301,pending,0:01–0:08,12/16/2025 01:15:41–12/16/2025 01:15:48,1765847741,1765847748,35.029236,35.028349,-86.810151,-86.809476,12/16/2025 01:15:41 AM,12/16/2025 01:15:48 AM,Vulnerable Users,Jaywalker,medium,748155c2e9774486a6e31f51b00b9301,a359aa77d341ab2f168340c9ce75f60e,https://app.nomadicml.com/events/748155c2e9774486a6e31f51b00b9301/a359aa77d341ab2f168340c9ce75f60e
Pavement Defect Scan,803d60b96d19460eb35fa8fef6de8510,pending,1:24–1:32,12/16/2025 01:16:41–12/16/2025 01:16:49,1765847801,1765847809,34.534918,34.535617,-86.210083,-86.210366,12/16/2025 01:16:41 AM,12/16/2025 01:16:49 AM,Road Surface,Sinkhole,high,803d60b96d19460eb35fa8fef6de8510,b2229854b117bd84fe91f8de0896888d,https://app.nomadicml.com/events/803d60b96d19460eb35fa8fef6de8510/b2229854b117bd84fe91f8de0896888d
Asset Inventory Scan,748155c2e9774486a6e31f51b00b9301,pending,1:44–1:53,12/16/2025 01:17:41–12/16/2025 01:17:50,1765847861,1765847870,35.046459,35.046491,-86.202971,-86.202442,12/16/2025 01:17:41 AM,12/16/2025 01:17:50 AM,Signage,Stop Sign,low,748155c2e9774486a6e31f51b00b9301,970b365cf9bef338d47f90e41afd1e71,https://app.nomadicml.com/events/748155c2e9774486a6e31f51b00b9301/970b365cf9bef338d47f90e41afd1e71
Pedestrian Safety Audit,803d60b96d19460eb35fa8fef6de8510,pending,1:40–1:49,12/16/2025 01:18:41–12/16/2025 01:18:50,1765847921,1765847930,40.249430,40.248773,-83.267746,-83.267659,12/16/2025 01:18:41 AM,12/16/2025 01:18:50 AM,Vulnerable Users,Person in Wheelchair,critical,803d60b96d19460eb35fa8fef6de8510,1c5ffe82e90075ed155bdc70f3c714e2,https://app.nomadicml.com/events/803d60b96d19460eb35fa8fef6de8510/1c5ffe82e90075ed155bdc70f3c714e2
Weather Impact Analysis,803d60b96d19460eb35fa8fef6de8510,pending,1:48–1:55,12/16/2025 01:19:41–12/16/2025 01:19:48,1765847981,1765847988,39.737996,39.738866,-82.673987,-82.673285,12/16/2025 01:19:41 AM,12/16/2025 01:19:48 AM,Environment,Mud Slide,critical,803d60b96d19460eb35fa8fef6de8510,c27ea83d490dc82ef1d2d5f761c9c068,https://app.nomadicml.com/events/803d60b96d19460eb35fa8fef6de8510/c27ea83d490dc82ef1d2d5f761c9c068
Weather Impact Analysis,9f8b89ccedbd4399b50b59e9cc16a5eb,pending,1:11–1:17,12/16/2025 01:20:41–12/16/2025 01:20:47,1765848041,1765848047,34.400254,34.399334,-86.399353,-86.400163,12/16/2025 01:20:41 AM,12/16/2025 01:20:47 AM,Environment,Snow Pile,high,9f8b89ccedbd4399b50b59e9cc16a5eb,8ec6b0b8e6060d65365ce9317210b535,https://app.nomadicml.com/events/9f8b89ccedbd4399b50b59e9cc16a5eb/8ec6b0b8e6060d65365ce9317210b535
